#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1403715273262142976,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062831853,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273267142976,0.000900000,0.000314108,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062800849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273272142976,0.001800000,0.000627905,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062707869,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273277142976,0.002700000,0.000941083,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062553003,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273282142976,0.003600000,0.001253332,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062336405,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273287142976,0.004500000,0.001564345,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.062058289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273292142976,0.005400000,0.001873813,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.061718928,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273297142976,0.006300000,0.002181432,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.061318659,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273302142976,0.007200000,0.002486899,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.060857875,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273307142976,0.008100000,0.002789911,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.060337032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273312142976,0.009000000,0.003090170,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.059756643,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273317142976,0.009900000,0.003387379,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.059117282,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273322142976,0.010800000,0.003681246,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.058419580,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273327142976,0.011700000,0.003971479,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.057664224,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273332142976,0.012600000,0.004257793,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.056851960,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273337142976,0.013500000,0.004539905,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.055983591,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273342142976,0.014400000,0.004817537,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.055059973,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273347142976,0.015300000,0.005090414,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.054082017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273352142976,0.016200000,0.005358268,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.053050688,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1403715273357142976,0.017100000,0.005620834,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.180000000,0.051967005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
